industry,city,quarter,TAI,TAI_n_dims,IDI,IDI_n_dims,TAI_规模,TAI_质量,TAI_网络,IDI_创新,IDI_商业,n_indicators
ai,hk,2015Q1,-0.539088,2,-0.793737,2,,-0.709816,-0.368359,-1.017739,-0.569734,4
ai,hk,2015Q2,0.524559,2,-0.665779,2,,0.716562,0.332557,-0.761823,-0.569734,4
ai,hk,2015Q3,0.254994,2,-0.738898,2,,0.547915,-0.037928,-0.908061,-0.569734,4
ai,hk,2015Q4,0.014074,2,-0.574380,2,,-0.214479,0.242626,-0.579026,-0.569734,4
ai,hk,2016Q1,0.103594,2,-0.738898,2,,0.088599,0.118590,-0.908061,-0.569734,4
ai,hk,2016Q2,0.751937,2,-0.720618,2,,1.347631,0.156242,-0.871502,-0.569734,4
ai,hk,2016Q3,0.190768,2,-0.665779,2,,0.586146,-0.204611,-0.761823,-0.569734,4
ai,hk,2016Q4,-0.680121,2,-0.702338,2,,-0.459885,-0.900357,-0.834942,-0.569734,4
ai,hk,2017Q1,-0.096171,2,-0.738898,2,,-0.408682,0.216341,-0.908061,-0.569734,4
ai,hk,2017Q2,0.060979,2,-0.610940,2,,-0.226106,0.348065,-0.652145,-0.569734,4
ai,hk,2017Q3,0.251724,2,-0.629219,2,,0.474795,0.028653,-0.688705,-0.569734,4
ai,hk,2017Q4,-0.119308,3,-0.647499,2,-0.720258,0.116045,0.246290,-0.725264,-0.569734,5
ai,hk,2018Q1,-0.226972,3,-0.702338,2,-0.716215,-0.279550,0.314848,-0.834942,-0.569734,5
ai,hk,2018Q2,-0.102016,3,-0.592660,2,-0.711804,0.155517,0.250238,-0.615586,-0.569734,5
ai,hk,2018Q3,-0.148377,3,-0.428143,2,-0.709672,-0.030274,0.294815,-0.286551,-0.569734,5
ai,hk,2018Q4,-0.351674,3,-0.647499,2,-0.707687,-0.190727,-0.156607,-0.725264,-0.569734,5
ai,hk,2019Q1,-0.064740,3,-0.647499,2,-0.698865,0.229697,0.274948,-0.725264,-0.569734,5
ai,hk,2019Q2,-0.078926,3,-0.720618,2,-0.694895,0.333539,0.124579,-0.871502,-0.569734,5
ai,hk,2019Q3,-0.245978,3,-0.629219,2,-0.689675,-0.089798,0.041539,-0.688705,-0.569734,5
ai,hk,2019Q4,-0.158068,3,-0.665779,2,-0.683353,-0.232580,0.441729,-0.761823,-0.569734,5
ai,hk,2020Q1,-0.253310,3,-0.684059,2,-0.673722,-0.462550,0.376342,-0.798383,-0.569734,5
ai,hk,2020Q2,-0.092610,3,-0.738898,2,-0.668796,0.199078,0.191888,-0.908061,-0.569734,5
ai,hk,2020Q3,-0.036903,3,-0.501262,2,-0.666664,0.109153,0.446801,-0.432789,-0.569734,5
ai,hk,2020Q4,-0.265596,3,-0.501262,2,-0.660415,-0.440888,0.304516,-0.432789,-0.569734,5
ai,hk,2021Q1,-0.226938,3,-0.610940,2,-0.645050,-0.312786,0.277023,-0.652145,-0.569734,5
ai,hk,2021Q2,0.035333,3,-0.592660,2,-0.638507,0.366144,0.378361,-0.615586,-0.569734,5
ai,hk,2021Q3,-0.034457,3,-0.720618,2,-0.630420,-0.203935,0.730984,-0.871502,-0.569734,5
ai,hk,2021Q4,-0.260423,3,-0.556101,2,-0.620863,-0.414781,0.254374,-0.542467,-0.569734,5
ai,hk,2022Q1,-0.034639,3,-0.647499,2,-0.598808,-0.014099,0.508989,-0.725264,-0.569734,5
ai,hk,2022Q2,-0.029241,3,-0.665779,2,-0.589324,0.166630,0.334971,-0.761823,-0.569734,5
ai,hk,2022Q3,-0.113120,3,-0.574380,2,-0.584619,-0.501290,0.746549,-0.579026,-0.569734,5
ai,hk,2022Q4,-0.353047,3,-0.702338,2,-0.575209,-0.933681,0.449751,-0.834942,-0.569734,5
ai,hk,2023Q1,-0.107053,3,-0.373304,2,-0.545141,-0.402160,0.626142,-0.176873,-0.569734,5
ai,hk,2023Q2,0.111671,3,-0.537821,2,-0.529041,0.203826,0.660227,-0.505908,-0.569734,5
ai,hk,2023Q3,-0.085861,3,-0.757177,2,-0.517719,-0.343362,0.603500,-0.944620,-0.569734,5
ai,hk,2023Q4,-0.179737,3,-0.482982,2,-0.505148,-0.524248,0.490185,-0.396229,-0.569734,5
ai,hk,2024Q1,0.104590,3,-0.569734,1,-0.462140,0.137798,0.638112,,-0.569734,4
ai,hk,2024Q2,0.166964,3,-0.523973,1,-0.445378,0.311392,0.634878,,-0.523973,4
ai,hk,2024Q3,0.024372,3,-0.478211,1,-0.431263,-0.231103,0.735481,,-0.478211,4
